var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Z[292],0.223666667,0.416770666,0,0,0,0,1,1.000844933,3000
Z[293],1,0,1,1,1,1,1,1,1
Z[294],1,0,1,1,1,1,1,1,1
Z[295],1,0,1,1,1,1,1,1,1
Z[296],1,0,1,1,1,1,1,1,1
Z[297],1,0,1,1,1,1,1,1,1
Z[298],1,0,1,1,1,1,1,1,1
Z[299],1,0,1,1,1,1,1,1,1
Z[3],0.256666667,0.436866692,0,0,0,1,1,1.000897668,3000
Z[30],1,0,1,1,1,1,1,1,1
Z[300],1,0,1,1,1,1,1,1,1
Z[301],0.048333333,0.214505384,0,0,0,0,1,1.000517213,3000
Z[302],0.015333333,0.122895308,0,0,0,0,0,1.00265102,3000
Z[303],0.001333333,0.036496569,0,0,0,0,0,1.105329934,3000
Z[304],0.046,0.209520006,0,0,0,0,1,1.001314351,3000
Z[305],0.000666667,0.025815584,0,0,0,0,0,1.291460188,1500
Z[306],0.075333333,0.263972441,0,0,0,0,1,1.002450642,2400
Z[307],0.061,0.239370214,0,0,0,0,1,1.002595996,2800
Z[308],0.047,0.211674125,0,0,0,0,1,1.003059672,3000
Z[309],0.005666667,0.07507619,0,0,0,0,0,1.040674351,2000
Z[31],0.536,0.498785454,0,0,1,1,1,1.001563158,1900
Z[310],0.006666667,0.081390604,0,0,0,0,0,1.015588299,3000
Z[311],0.087333333,0.28236997,0,0,0,0,1,1.000751746,3000
Z[312],0.021666667,0.14561693,0,0,0,0,0,1.010603415,2100
Z[313],0.002333333,0.048256244,0,0,0,0,0,1.038139547,3000
Z[314],0.048666667,0.215206088,0,0,0,0,1,1.000531494,3000
Z[315],0.026,0.159161692,0,0,0,0,1,1.001830719,3000
Z[316],0.005333333,0.07284681,0,0,0,0,0,1.00729943,3000
Z[317],0.001666667,0.040797594,0,0,0,0,0,1.116024145,2100
Z[318],0.000333333,0.018257419,0,0,0,0,0,1.290903825,3000
Z[319],0.113666667,0.317458893,0,0,0,0,1,1.000778188,3000
Z[32],1,0,1,1,1,1,1,1,1
Z[320],0.117,0.321473869,0,0,0,0,1,1.003530255,1200
Z[321],1,0,1,1,1,1,1,1,1
Z[322],0.091,0.287657057,0,0,0,0,1,1.000699484,3000
Z[323],0.051333333,0.220713526,0,0,0,0,1,1.002388809,3000
Z[324],1,0,1,1,1,1,1,1,1
Z[325],0.023,0.149928292,0,0,0,0,0,1.012133148,1700
Z[326],0.132666667,0.339270674,0,0,0,0,1,1.001323275,2400
Z[327],0.01,0.099515331,0,0,0,0,0,1.004558988,3000
Z[328],0.095333333,0.293723759,0,0,0,0,1,1.00338714,1500
Z[329],0.089,0.284791214,0,0,0,0,1,1.000728247,3000
Z[33],1,0,1,1,1,1,1,1,1
Z[330],1,0,1,1,1,1,1,1,1
Z[331],0.13,0.336359499,0,0,0,0,1,1.002391308,1500
Z[332],0.136,0.34284571,0,0,0,0,1,1.001111116,3000
Z[333],1,0,1,1,1,1,1,1,1
Z[334],0.034,0.181259349,0,0,0,0,1,1.008217853,1700
Z[335],0.063666667,0.244198894,0,0,0,0,1,1.004353709,1700
